CSV_DATA;computador: linux_erin_6; tam_matriz: 500; n_threads: 1; n_cpus: 6; checksum: 61231.27; tp: 0.0; ts: 0.122659;

CSV_DATA;computador: linux_erin_6; tam_matriz: 500; n_threads: 4; n_cpus: 6; checksum: 61231.27; tp: 0.031606; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 500; n_threads: 8; n_cpus: 6; checksum: 61231.27; tp: 0.029588; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 500; n_threads: 16; n_cpus: 6; checksum: 61231.27; tp: 0.023091; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 500; n_threads: 32; n_cpus: 6; checksum: 61231.27; tp: 0.023906; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 1000; n_threads: 1; n_cpus: 6; checksum: 249868.49; tp: 0.0; ts: 1.033805;

CSV_DATA;computador: linux_erin_6; tam_matriz: 1000; n_threads: 4; n_cpus: 6; checksum: 249868.49; tp: 0.270204; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 1000; n_threads: 8; n_cpus: 6; checksum: 249868.49; tp: 0.206944; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 1000; n_threads: 16; n_cpus: 6; checksum: 249868.49; tp: 0.182896; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 1000; n_threads: 32; n_cpus: 6; checksum: 249868.49; tp: 0.182774; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 2000; n_threads: 1; n_cpus: 6; checksum: 1015269.71; tp: 0.0; ts: 8.556279;

CSV_DATA;computador: linux_erin_6; tam_matriz: 2000; n_threads: 4; n_cpus: 6; checksum: 1015269.71; tp: 2.223440; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 2000; n_threads: 8; n_cpus: 6; checksum: 1015269.71; tp: 1.641295; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 2000; n_threads: 16; n_cpus: 6; checksum: 1015269.71; tp: 1.650738; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 2000; n_threads: 32; n_cpus: 6; checksum: 1015269.71; tp: 1.651598; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 3000; n_threads: 1; n_cpus: 6; checksum: 2270672.15; tp: 0.0; ts: 29.260502;

CSV_DATA;computador: linux_erin_6; tam_matriz: 3000; n_threads: 4; n_cpus: 6; checksum: 2270672.15; tp: 7.617514; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 3000; n_threads: 8; n_cpus: 6; checksum: 2270672.15; tp: 6.682006; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 3000; n_threads: 16; n_cpus: 6; checksum: 2270672.15; tp: 6.602044; ts: 0.0;

CSV_DATA;computador: linux_erin_6; tam_matriz: 3000; n_threads: 32; n_cpus: 6; checksum: 2270672.15; tp: 6.403265; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 500; n_threads: 1; n_cpus: 2; checksum: 61231.27; tp: 0.0; ts: 0.113187;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 500; n_threads: 4; n_cpus: 2; checksum: 61231.27; tp: 0.061189; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 500; n_threads: 8; n_cpus: 2; checksum: 61231.27; tp: 0.062018; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 500; n_threads: 16; n_cpus: 2; checksum: 61231.27; tp: 0.063881; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 500; n_threads: 32; n_cpus: 2; checksum: 61231.27; tp: 0.063376; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 1000; n_threads: 1; n_cpus: 2; checksum: 249868.49; tp: 0.0; ts: 0.926434;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 1000; n_threads: 4; n_cpus: 2; checksum: 249868.49; tp: 0.533605; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 1000; n_threads: 8; n_cpus: 2; checksum: 249868.49; tp: 0.657184; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 1000; n_threads: 16; n_cpus: 2; checksum: 249868.49; tp: 0.527314; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 1000; n_threads: 32; n_cpus: 2; checksum: 249868.49; tp: 0.520738; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 2000; n_threads: 1; n_cpus: 2; checksum: 1015269.71; tp: 0.0; ts: 7.673572;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 2000; n_threads: 4; n_cpus: 2; checksum: 1015269.71; tp: 4.343094; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 2000; n_threads: 8; n_cpus: 2; checksum: 1015269.71; tp: 4.083553; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 2000; n_threads: 16; n_cpus: 2; checksum: 1015269.71; tp: 4.327256; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 2000; n_threads: 32; n_cpus: 2; checksum: 1015269.71; tp: 4.100888; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 3000; n_threads: 1; n_cpus: 2; checksum: 2270672.15; tp: 0.0; ts: 25.638622;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 3000; n_threads: 4; n_cpus: 2; checksum: 2270672.15; tp: 14.176969; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 3000; n_threads: 8; n_cpus: 2; checksum: 2270672.15; tp: 13.926792; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 3000; n_threads: 16; n_cpus: 2; checksum: 2270672.15; tp: 13.894472; ts: 0.0;

CSV_DATA;computador: gitspace_erin_2; tam_matriz: 3000; n_threads: 32; n_cpus: 2; checksum: 2270672.15; tp: 13.883380; ts: 0.0;
